id_filme,person_id,character,role
3748,tm84618,Travis Bickle,ACTOR
14658,tm84618,Iris Steensma,ACTOR
7064,tm84618,Tom,ACTOR
3739,tm84618,Matthew 'Sport' Higgins,ACTOR
48933,tm84618,Betsy,ACTOR
32267,tm84618,Wizard,ACTOR
519612,tm84618,Senator Charles Palantine,ACTOR
29068,tm84618,Concession Girl,ACTOR
519613,tm84618,Policeman at Rally,ACTOR
3308,tm84618,Passenger Watching Silhouette,ACTOR
43791,tm84618,Iris' Time Keeper,ACTOR
519614,tm84618,Secret Service Agent,ACTOR
519615,tm84618,Tom's Assistant (uncredited),ACTOR
82426,tm84618,Mafioso (uncredited),ACTOR
20935,tm84618,"Melio, Delicatessen Owner",ACTOR
7753,tm84618,Personell Officer,ACTOR
43279,tm84618,Angry Black Man (uncredited),ACTOR
519616,tm84618,Soap Opera Woman (uncredited),ACTOR
8424,tm84618,Charlie T,ACTOR
20447,tm84618,Doughboy,ACTOR
519618,tm84618,Campaign Worker (uncredited),ACTOR
49567,tm84618,Andy - Gun Salesman,ACTOR
15551,tm84618,The John,ACTOR
475303,tm84618,Palantine's Aide (uncredited),ACTOR
43540,tm84618,T.V. Interviewer (uncredited),ACTOR
466061,tm84618,Campaign Worker (uncredited),ACTOR
212023,tm84618,Political rallier (uncredited),ACTOR
5367,tm84618,Campaign Aide (uncredited),ACTOR
17421,tm84618,Girl at Columbus Circle (uncredited),ACTOR
38141,tm84618,Policeman (uncredited),ACTOR
811415,tm84618,Hooker in Cab,ACTOR
1141852,tm84618,Iris' friend,ACTOR
1662310,tm84618,Stick-aup Man,ACTOR
1393387,tm84618,Iris' Friend (uncredited),ACTOR
9446,tm84618,Iris' Mother (newspaper article) (uncredited),ACTOR
9451,tm84618,Iris' Father (newspaper article) (uncredited),ACTOR
3308,tm84618,,DIRECTOR
10103,tm154986,Ed Gentry,ACTOR
13020,tm154986,Lewis Medlock,ACTOR
6639,tm154986,Bobby Trippe,ACTOR
11224,tm154986,Drew Ballinger,ACTOR
24509,tm154986,Old Man at the Gas-Station,ACTOR
80069,tm154986,Lonnie - The Banjo Boy,ACTOR
84032,tm154986,First Griner,ACTOR
84031,tm154986,Second Griner,ACTOR
7918,tm154986,Mountain Man,ACTOR
197405,tm154986,Toothless Man,ACTOR
618692,tm154986,First Deputy,ACTOR
618691,tm154986,Second Deputy,ACTOR
498130,tm154986,Ambulance Driver,ACTOR
618690,tm154986,Doctor,ACTOR
217036,tm154986,Nurse,ACTOR
618689,tm154986,Mrs. Biddiford,ACTOR
618688,tm154986,Taxi Driver,ACTOR
24510,tm154986,Sheriff Bullard,ACTOR
53804,tm154986,Deputy Queen,ACTOR
618687,tm154986,Boy at Gas Station,ACTOR
37993,tm154986,Martha Gentry,ACTOR
100262,tm154986,Ed's Boy,ACTOR
17727,tm154986,,DIRECTOR
11472,tm127384,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR
1549,tm127384,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR
11474,tm127384,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR
11473,tm127384,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR
11475,tm127384,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR
11476,tm127384,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR
40898,tm127384,The Witch,ACTOR
11478,tm127384,Zoot / Dingo,ACTOR
11482,tm127384,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR
40899,tm127384,Old Crone,ACTOR
11481,tm127384,Dead Body / Historian Frank,ACTOR
40900,tm127384,Historian's Wife,ACTOR
40901,tm127384,Dr. Piglet,ACTOR
40902,tm127384,Dr. Winston,ACTOR
40903,tm127384,Prisoner,ACTOR
1275018,tm127384,Girl in Castle Anthrax,ACTOR
1462970,tm127384,Girl in Castle Anthrax,ACTOR
589811,tm127384,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR
976111,tm127384,Girl in Castle Anthrax,ACTOR
1462971,tm127384,Musician at Wedding / Villager at Witch Burning,ACTOR
90024,tm127384,Girl in Castle Anthrax,ACTOR
1462991,tm127384,Girl in Castle Anthrax,ACTOR
1462993,tm127384,Girl in Castle Anthrax,ACTOR
1462994,tm127384,Girl in Castle Anthrax,ACTOR
1462623,tm127384,Girl in Castle Anthrax,ACTOR
1462995,tm127384,Girl in Castle Anthrax,ACTOR
1462975,tm127384,Girl in Castle Anthrax,ACTOR
1462978,tm127384,Girl in Castle Anthrax,ACTOR
703435,tm127384,Girl in Castle Anthrax,ACTOR
1463011,tm127384,Girl in Castle Anthrax,ACTOR
1462986,tm127384,Girl in Castle Anthrax,ACTOR
1462588,tm127384,Girl in Castle Anthrax,ACTOR
889417,tm127384,Girl in Castle Anthrax,ACTOR
1464056,tm127384,Girl in Castle Anthrax,ACTOR
1671807,tm127384,Girl in Castle Anthrax,ACTOR
11490,tm127384,Police Sergeant (uncredited),ACTOR
84047,tm127384,Peasant (uncredited),ACTOR
1463016,tm127384,Guard who Falls into Barrels (uncredited),ACTOR
1463018,tm127384,Bash (Mudfighter (uncredited),ACTOR
1463021,tm127384,Sir Not-Appearing-in-this-Film (uncredited),ACTOR
11475,tm127384,Themselves (uncredited),ACTOR
919694,tm127384,Guard Eating Apple (uncredited),ACTOR
400172,tm127384,Biff (Mudfighter) (uncredited),ACTOR
14908,tm127384,Inspector End of Film (uncredited),ACTOR
8327,tm127384,Dancing Knight (uncredited),ACTOR
156072,tm127384,Page-turner (uncredited),ACTOR
11475,tm127384,,DIRECTOR
11473,tm127384,,DIRECTOR
35196,tm120801,Maj. John Reisman,ACTOR
1050,tm120801,Maj. Gen. Worden,ACTOR
16868,tm120801,Joseph Wladislaw,ACTOR
14351,tm120801,Robert Jefferson,ACTOR
35197,tm120801,Victor Franko,ACTOR
35200,tm120801,Sergeant Bowren,ACTOR
1061,tm120801,Major Max Armbruster,ACTOR
35198,tm120801,Pedro Jiminez,ACTOR
21482,tm120801,Captain Stuart Kinder,ACTOR
24126,tm120801,Col. Everett Dasher Breed,ACTOR
21838,tm120801,Archer Maggott,ACTOR
1765,tm120801,Vernon Pinkley,ACTOR
35199,tm120801,Samson Posey,ACTOR
8044,tm120801,General Denton,ACTOR
35201,tm120801,Milo Vladek,ACTOR
35202,tm120801,Glenn Gilpin,ACTOR
35203,tm120801,Roscoe Lever,ACTOR
29814,tm120801,Cpl. Morgan - MP Guard,ACTOR
35204,tm120801,Seth Sawyer,ACTOR
15345,tm120801,Tassos Bravos,ACTOR
2095,tm120801,Pvt. Arthur James Gardner,ACTOR
32622,tm120801,Gen. Worden's Aide,ACTOR
548877,tm120801,German Officer's Girl,ACTOR
361026,tm120801,German Officer in Staff Car (uncredited),ACTOR
35206,tm120801,German General in Staff Car (uncredited),ACTOR
35207,tm120801,French Servant (uncredited),ACTOR
35208,tm120801,Ambulance Driver (uncredited),ACTOR
35209,tm120801,Drunken General's Wife (uncredited),ACTOR
35210,tm120801,MP Master Sergeant / Hangman (uncredited),ACTOR
35211,tm120801,Airborne Soldier (uncredited),ACTOR
11181,tm120801,German Officer (uncredited),ACTOR
35212,tm120801,Card-Playing German Officer (uncredited),ACTOR
21244,tm120801,2nd German Sentry at Chateau (uncredited),ACTOR
35213,tm120801,Medical Officer at Hanging (uncredited),ACTOR
35214,tm120801,German Porter at Chateau (uncredited),ACTOR
10097,tm120801,German Sentry Wanting Light (uncredited),ACTOR
35215,tm120801,German Officer (uncredited),ACTOR
35216,tm120801,(uncredited),ACTOR
35217,tm120801,Prostitute (uncredited),ACTOR
35218,tm120801,German Sentry at Chateau (uncredited),ACTOR
1062,tm120801,MP at Hanging (uncredited),ACTOR
22266,tm120801,MP Lt. Col. in charge at hanging (uncredited),ACTOR
35219,tm120801,Prostitute (uncredited),ACTOR
4500,tm120801,Sergeant at War Games HQ (uncredited),ACTOR
31806,tm120801,Blake (uncredited),ACTOR
35220,tm120801,Drunken German General (uncredited),ACTOR
35222,tm120801,German Officer Who Seals the Bunker (uncredited),ACTOR
35223,tm120801,German Officer (uncredited),ACTOR
35224,tm120801,German Officer (uncredited),ACTOR
35225,tm120801,German Officer (uncredited),ACTOR
35226,tm120801,Airborne Soldier (uncredited),ACTOR
2105,tm120801,Army Doctor (uncredited),ACTOR
35227,tm120801,Prostitute (uncredited),ACTOR
744350,tm120801,Airborne Band Conductor (uncredited),ACTOR
1063,tm120801,,DIRECTOR
11472,ts22164,Various,ACTOR
11476,ts22164,"Various / ""It's"" man",ACTOR
11475,ts22164,Various,ACTOR
11474,ts22164,Various,ACTOR
11473,ts22164,Various,ACTOR
11472,tm70993,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR
1549,tm70993,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR
11473,tm70993,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR
11474,tm70993,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR
11475,tm70993,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR
11476,tm70993,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR
11477,tm70993,Gregory,ACTOR
11478,tm70993,Mrs. Gregory,ACTOR
11479,tm70993,Jesus,ACTOR
11482,tm70993,A Weedy Samaritan,ACTOR
11480,tm70993,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
11481,tm70993,"Matthias, Son of Deuteronomy of Gath",ACTOR
11483,tm70993,Mrs. Big Nose,ACTOR
11484,tm70993,Judith Iscariot,ACTOR
548006,tm70993,,ACTOR
11485,tm70993,Pilate's Wife,ACTOR
11489,tm70993,Alfonso / Giggling Guard,ACTOR
11487,tm70993,Another Official Stoners Helper / Giggling Guard,ACTOR
11486,tm70993,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
73106,tm70993,Spike,ACTOR
11488,tm70993,Mr. Papadopolous (uncredited),ACTOR
11475,tm70993,,DIRECTOR
6050,tm14873,Harry,ACTOR
74499,tm14873,Bressler,ACTOR
24045,tm14873,Chico,ACTOR
29250,tm14873,The Mayor,ACTOR
29225,tm14873,Killer,ACTOR
63141,tm14873,Chief,ACTOR
28420,tm14873,De Georgio,ACTOR
83026,tm14873,Mrs. Russell,ACTOR
83027,tm14873,Norma,ACTOR
83028,tm14873,Bus Driver,ACTOR
29253,tm14873,Mr. Jaffe,ACTOR
7250,tm14873,Rothko,ACTOR
83029,tm14873,Bannerman,ACTOR
44085,tm14873,Liquor Proprietor,ACTOR
28418,tm14873,Sid Kleinman,ACTOR
83030,tm14873,Miss Willis,ACTOR
642080,tm14873,Sgt. Reineke,ACTOR
24203,tm14873,Bank Robber (uncredited),ACTOR
83031,tm14873,Communications Secretary (uncredited),ACTOR
83032,tm14873,Suicide Jumper (uncredited),ACTOR
83033,tm14873,Swimmer (uncredited),ACTOR
6848,tm14873,Pedestrian (uncredited),ACTOR
83034,tm14873,TV Watcher (uncredited),ACTOR
83035,tm14873,Man in Jaffe's Cafe (uncredited),ACTOR
83036,tm14873,(uncredited),ACTOR
63147,tm14873,Homicide Detective (uncredited),ACTOR
83037,tm14873,Hot Mary (uncredited),ACTOR
29725,tm14873,Tunnel Hoodlum (uncredited),ACTOR
19846,tm14873,Tunnel Hoodlum (uncredited),ACTOR
37760,tm14873,Tunnel Hoodlum (uncredited),ACTOR
83038,tm14873,Policeman (uncredited),ACTOR
58911,tm14873,Helicopter Pilot (uncredited),ACTOR
28432,tm14873,Homosexual (uncredited),ACTOR
83039,tm14873,Minor Role (uncredited),ACTOR
83040,tm14873,Newsman (uncredited),ACTOR
83041,tm14873,Underwear Chick (uncredited),ACTOR
83042,tm14873,Man in Truck (uncredited),ACTOR
15562,tm14873,Flower Vendor (uncredited),ACTOR
